epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,395.699,1.38814,2.78751,1.66362,1.21308,0,0.51316,0.28273,0.27645,0.1453,0.5368,0.24218,0.24058,0.10333,1.61834,3.32717,1.77593,1.40121,0,0.000664,0.000664,0.000664
2,854.951,1.57112,3.03501,1.6665,1.34291,0,0.37946,0.17729,0.14467,0.06968,0.36079,0.16222,0.12013,0.04462,1.79046,3.45749,1.81349,1.45034,0,0.0013142,0.0013142,0.0013142
